date,ROR,COPPER,EUR,SP500,US10,GOLD_micro,GAS_US_mini,CRUDE_W_mini
1/3/2000,-0.0033,,0.013931825,-0.01197804,-0.023752962,,,
1/4/2000,-0.0098,-0.01863354,0.001869995,-0.037043273,0.014841845,-0.008112196,-0.004884922,0.058585859
1/5/2000,-0.0029,0.010759494,0.00137959,0.001398846,-0.020858301,-0.00221791,9.44E-05,-0.061068702
1/6/2000,-0.0018,-0.004383219,-0.001620811,-0.00698446,0.010284032,0.000416782,0.001604682,-0.014227642
1/7/2000,-0.0055,0.001257862,-0.001379926,0.040091437,0.01163354,0.000694348,-0.000659693,0.016494845
1/10/2000,0.0028,-0.009422111,-0.00227596,0.009467456,-0.007426926,-0.000277546,0.001273104,0.073022312
1/11/2000,0.014,-0.003804692,0.00562141,-0.014067995,,0.0023598,0.001648222,0.081285444
1/12/2000,0.0028,0.028644176,-0.0011342,-0.008153559,-0.029447251,-0.000969395,-9.40E-05,0.04020979
1/13/2000,-0.0016,-0.011757426,-0.004785271,0.01164583,0.020144236,0.001940671,0.000188076,0.008403361
1/14/2000,0.0097,0.007514089,-0.009372071,0.013543254,-0.012676739,-0.000276702,0.002773599,0.126666667
1/17/2000,0.002,,,,,,,
1/18/2000,0.0102,0.004350528,-0.00180988,-0.006681142,-0.015308637,0.00650429,0.002344006,0.032544379
1/19/2000,-0.0031,0.020420792,8.24E-05,0.002690432,0.006770309,0.000962464,0.001590197,-0.005730659
1/20/2000,-0.0005,-0.011522135,0.003378796,-0.010732853,-0.008966373,-0.001373626,0.005556853,0.007204611
1/21/2000,-0.0019,0,-0.005667118,-0.002712324,-0.002513193,0.000550206,-0.003947246,-0.008583691
1/24/2000,0.0008,-0.020245399,-0.004708215,-0.027876934,0.018644489,-0.002199615,0.000699333,0.01010101
1/25/2000,-0.0002,-0.017532874,-0.002157766,0.004895961,-0.00247341,-0.002066685,0.002143123,0.031428571
1/26/2000,-0.0047,-0.001274697,-0.000415852,-0.002088046,0.004215223,-0.000138064,-0.00409112,-0.037396122
1/27/2000,0.0076,0.003828973,-0.011648708,-0.00418483,-0.000987654,0.0008285,0.001867239,-0.037410072
1/28/2000,0.0069,-0.01207883,-0.0088395,-0.03081772,0.009639147,-0.005656733,4.66E-05,0.028400598
1/31/2000,0.0018,0.018661519,-0.006625048,0.025293586,-0.003427172,0.000277508,0.004286446,0.050872093
2/1/2000,-0.0032,-0.008212255,0.003078107,0.011277533,0.009825593,-0.001109724,0.00078868,0.048409405
2/2/2000,-0.0051,-0.02611465,0.001960534,-0.000696986,0.004135246,0.003194001,0.001205266,-0.038258575
2/3/2000,-0.0135,0.004578156,0.012165554,0.014646905,0.019864335,0.003045404,-0.003102139,0.054869684
2/4/2000,0.0079,0.001953125,-0.006471948,-0.003437017,-0.011876481,0.031879658,0.003436905,0.059817945
2/7/2000,0.0088,-0.000649773,-0.002030371,-0.002759096,-0.021394224,-0.011368196,-0.006248554,-0.056441718
2/8/2000,-0.0071,-0.009102731,0.0046624,0.012450285,0.010562512,-0.003787879,-0.002142524,-0.016905072
2/9/2000,0.002,0.002624672,0.00540016,-0.01912895,-0.016285848,0.009369908,0.002100448,0.03968254
2/10/2000,0.0069,0.035994764,-0.005203307,0.001393,-0.01210773,0.013588053,0.003307094,0.026717557
2/11/2000,-0.0017,-0.005685407,0.000590543,-0.015997218,0.00650325,-0.006769312,9.29E-05,0.002478315
2/14/2000,0.0032,-0.001270648,-0.004890182,0.001413677,0.018886674,-0.003474542,-0.001206945,0.066749073
2/15/2000,-0.0028,-0.021628499,-8.47E-05,0.007764249,-0.006097559,-0.009253051,0.003439301,-0.027809965
2/16/2000,0.0002,0.00130039,0.00440622,-0.011906846,-0.000981595,0.001218192,-0.001899027,0.047675805
2/17/2000,0.0036,0.01038961,0.001518539,-0.0049619,-0.006877915,-0.001622279,0.004547775,-0.046643914
2/18/2000,0.0029,-0.005141388,-0.003285179,-0.023508459,0.016571847,0.004739336,-0.001616852,-0.010739857
2/21/2000,-0.0017,,,,,,,
2/22/2000,-0.0118,-0.005813953,0.016987112,-0.002918111,0.032116778,0.000539084,-0.004904683,0.014475271
2/23/2000,0.0037,0.014944769,-0.00182823,0.011706603,-0.016737383,-0.007139009,0,-0.003567182
2/24/2000,-0.001,-0.006402049,-0.007243059,-0.007231965,0.019899299,-0.002035002,0.000557984,-0.020286396
2/25/2000,-0.0004,-0.024484536,-0.016939914,-0.012383901,0,-0.008564437,0.002648945,0.031668697
2/28/2000,-0.0051,-0.044914135,-0.002132651,0.007375991,-0.015984951,-0.000548471,0.002410197,-0.017709563
2/29/2000,0.0065,0.008298755,-0.004701859,0.017572762,0.003344481,0,0.003282933,0.036057692
3/1/2000,-0.0088,0.00617284,0.006785484,0.0093542,0.005238094,-0.001234737,0.002488709,0.090487239
3/2/2000,0.0054,-0.008179959,-0.006910378,0,-0.002605399,-0.004945055,-0.000459728,0
3/3/2000,0.001,0.006872852,-0.004209441,0.01853502,0.00593683,0.000828272,0.001701775,0.00106383
3/6/2000,0.0023,0.003412969,-0.002156753,-0.0111986,-0.006846079,-0.001241379,0.001607053,0.037194474
3/7/2000,0.0031,-0.013605442,-0.001729132,-0.030437091,0.004516281,0.005938406,-0.001833685,0.104508197
3/8/2000,-0.011,-0.006896552,0.003464253,0.010950903,0,-0.004530478,-0.003765959,-0.192949907
3/9/2000,-0.0062,0.013194444,0.005437362,0.026719624,0.00757217,0.003171976,0.002904297,0.077011494
3/10/2000,-0.0006,-0.010281014,-0.004120349,-0.003516793,-0.007750115,-0.00371185,-0.000597564,-0.038420491
3/13/2000,-0.0058,-0.002077562,0.005171745,-0.011293453,0.005680472,0.002069822,0.003311563,0.009988901
3/14/2000,-0.0026,0.017349063,0.002143807,-0.015705872,0.014591664,-0.002478656,-0.001833685,0.018681319
3/15/2000,0.0013,0.010231924,0.000684551,0.024660018,0.004871258,-0.000138045,0.002020759,-0.024811219
3/16/2000,0.0013,0.010803511,0.00290735,0.045301717,0.007156046,-0.003589673,-0.000320836,0.023230088
3/17/2000,0.0061,-0.006680027,0.001023149,0.00744879,0.009397201,-0.002771235,-0.002246573,0.003243243
3/20/2000,-0.0055,-0.008742434,0.000511051,-0.007393715,-0.000227066,0.002084202,-0.003170664,-0.044181034
3/21/2000,0.0066,0.014925373,-0.007576725,0.020314881,0.005677945,0.005407654,0.00147513,0.03156708
3/22/2000,0.0009,-0.004010695,-0.003774394,0.006636801,0.001806684,-0.002896152,0.001841197,-0.033879781
3/23/2000,-0.0049,0.002013423,0.009988376,0.017141915,0.00383228,-0.004011065,0.002251321,0.009049774
3/24/2000,-0.0078,-0.009377093,0.002642909,0.007778318,-0.018863682,-0.000416609,-0.000550105,0.047085202
3/27/2000,-0.001,-0.010141988,-0.008247949,-0.011577424,0.002975508,-0.006390664,0.003348317,-0.025695931
3/28/2000,0.0005,0.00136612,-0.00351524,-0.005205791,0.002966681,-0.00139821,0.001508571,-0.043956044
3/29/2000,0.0018,0.004092769,-0.009378361,0,0.005005687,-0.005040605,-0.002647435,0.028735632
3/30/2000,-0.0062,-0.000679348,0.008859165,-0.01635323,0.021055009,0.000562905,-0.001693364,0.01452514
3/31/2000,0.0116,-0.003399048,-0.004735052,0.006650042,0.00776053,0.00323488,0.002750653,0.028634361
4/3/2000,-0.0069,-0.003410641,0.001989533,0.008587944,0.005280527,-0.001401935,-0.001874457,-0.04496788
4/4/2000,-0.0054,-0.012320329,0.004834463,-0.005894875,0.021011156,0.008704198,-0.002885672,-0.038116592
4/5/2000,-0.0025,-0.002079002,-0.000773229,-0.009224181,-0.006859591,-0.003897008,0.002710276,0.029137529
